antibiotic,dev_R,dev_I,dev_S,dev_class1,dev_class0,dev_minority_frac,dev_years_with_both_classes,dev_years_total,dev_class1_test_year,dev_groups_class1,dev_groups_class0,DRIAMS-B_class1,DRIAMS-B_class0,DRIAMS-C_class1,DRIAMS-C_class0,DRIAMS-D_class1,DRIAMS-D_class0,external_sites_meeting_min,external_sites_not_available,status,reasons,minority_count_dev,pooled_available_class1,pooled_available_class0,minority_count_available
Cefoxitin,,,,,,,,,,,,27,186,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"no Cefoxitin column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,27,186,27
Benzylpenicillin,,,,,,,,,,,,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"no Benzylpenicillin column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Benzylpenicillin_others,,,,,,,,,,,,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"no Benzylpenicillin_others column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Benzylpenicillin_with_meningitis,,,,,,,,,,,,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"no Benzylpenicillin_with_meningitis column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Benzylpenicillin_with_pneumonia,,,,,,,,,,,,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",pending,"no Benzylpenicillin_with_pneumonia column in DRIAMS-A; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Norfloxacin,372.0,18.0,1098.0,390.0,1098.0,0.2621,4.0,4.0,95.0,224.0,701.0,72,141,,,,,1,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 390 < 500; external sites not yet available: DRIAMS-C, DRIAMS-D",390,462,1239,462
Piperacillin-Tazobactam,306.0,44.0,4449.0,350.0,4449.0,0.0729,4.0,4.0,118.0,154.0,2261.0,49,164,,,,,1,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 350 < 500; minority fraction 0.073 < 0.1; external sites not yet available: DRIAMS-C, DRIAMS-D",350,399,4613,399
Amikacin,35.0,296.0,4527.0,331.0,4527.0,0.0681,4.0,4.0,67.0,167.0,2265.0,12,193,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 331 < 500; minority fraction 0.068 < 0.1; external sites not yet available: DRIAMS-C, DRIAMS-D",331,343,4720,343
Ertapenem,30.0,5.0,4948.0,35.0,4948.0,0.007,4.0,4.0,13.0,11.0,2440.0,2,211,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 35 < 500; minority fraction 0.007 < 0.1; resistant in 2018 13 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",35,37,5159,37
Fosfomycin-Trometamol,34.0,0.0,1465.0,34.0,1465.0,0.0227,4.0,4.0,9.0,24.0,902.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 34 < 500; minority fraction 0.023 < 0.1; resistant in 2018 9 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",34,34,1465,34
Colistin,18.0,0.0,4912.0,18.0,4912.0,0.0037,4.0,4.0,9.0,10.0,2418.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 18 < 500; minority fraction 0.004 < 0.1; resistant in 2018 9 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",18,18,4912,18
Nitrofurantoin,16.0,0.0,1482.0,16.0,1482.0,0.0107,3.0,4.0,3.0,9.0,916.0,3,210,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 16 < 500; minority fraction 0.011 < 0.1; resistant in 2018 3 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",16,19,1692,19
Imipenem,5.0,0.0,4918.0,5.0,4918.0,0.001,2.0,4.0,0.0,3.0,2425.0,0,213,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 5 < 500; minority fraction 0.001 < 0.1; years with both classes 2 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",5,5,5131,5
Meropenem,3.0,0.0,4925.0,3.0,4925.0,0.0006,2.0,4.0,0.0,2.0,2427.0,0,205,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 3 < 500; minority fraction 0.001 < 0.1; years with both classes 2 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",3,3,5130,3
Aminoglycosides,1.0,1.0,12.0,2.0,12.0,0.1429,1.0,4.0,2.0,2.0,9.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 2 < 500; susceptible 12 < 500; years with both classes 1 < 3; resistant in 2018 2 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",2,2,12,2
Aztreonam,2.0,0.0,11.0,2.0,11.0,0.1538,0.0,4.0,2.0,1.0,2.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 2 < 500; susceptible 11 < 500; years with both classes 0 < 3; resistant in 2018 2 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",2,2,11,2
Amoxicillin-Clavulanic acid_uncomplicated_HWI,1.0,0.0,46.0,1.0,46.0,0.0213,1.0,4.0,0.0,1.0,20.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 1 < 500; susceptible 46 < 500; minority fraction 0.021 < 0.1; years with both classes 1 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",1,1,46,1
Doxycycline,1.0,0.0,1.0,1.0,1.0,0.5,0.0,4.0,0.0,1.0,1.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 1 < 500; susceptible 1 < 500; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",1,1,1,1
Cefuroxime,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,54,159,,,,,1,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 2 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,54,161,54
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27,186,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,27,186,27
5-Fluorocytosine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Amoxicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Amphotericin B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Ampicillin-Sulbactam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Anidulafungin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Azithromycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Bacitracin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Caspofungin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Cefazolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Cefixime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Cefoxitin_screen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Ceftarolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Ceftazidime-Avibactam,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 3 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,3,0
Ceftobiprole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Ceftolozane-Tazobactam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Cefuroxime.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Chloramphenicol,0.0,0.0,14.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,11.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 14 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,14,0
Clarithromycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Clindamycin,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 1 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,1,0,0
Daptomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Erythromycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Fluconazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Fosfomycin,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0,213,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 4 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,217,0
Fusidic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Gentamicin_high_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Isavuconazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Itraconazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Linezolid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Meropenem_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Meropenem_with_pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Meropenem_without_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Metronidazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Micafungin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Minocycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Moxifloxacin,0.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,3.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 5 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,5,0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Oxacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 1 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,1,0,0
Penicillin_with_endokarditis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin_with_other_infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin_with_pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin_without_endokarditis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Penicillin_without_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Posaconazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Quinolones,0.0,0.0,14.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,11.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 14 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,14,0
Rifampicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
Rifampicin_1mg-l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,,,,0,"DRIAMS-C, DRIAMS-D",not eligible,"resistant 0 < 500; susceptible 0 < 500; minority fraction 0.000 < 0.1; years with both classes 0 < 3; resistant in 2018 0 < 50; external sites not yet available: DRIAMS-C, DRIAMS-D",0,0,0,0
