site,antibiotic,R,I,S,ambiguous,missing,other,labelled_RIS
DRIAMS-A,Ceftazidime-Avibactam,15,1,56,5,111180,0,72
DRIAMS-A,Ceftolozane-Tazobactam,35,0,72,0,111150,0,107
DRIAMS-A,Ampicillin-Sulbactam,11,0,3,0,111243,0,14
DRIAMS-A,Ceftobiprole,38,0,24,0,111195,0,62
DRIAMS-A,Strepomycin_high_level,0,0,4,0,111253,0,4
DRIAMS-A,Isavuconazole,1,0,4,0,111252,0,5
DRIAMS-B,Amoxicillin-Clavulanic acid,515,21,1454,0,3907,0,1990
DRIAMS-B,Amikacin,11,15,900,0,4971,0,926
DRIAMS-B,Ampicillin,714,0,634,0,4549,0,1348
DRIAMS-B,Cefepime,255,14,1420,0,4208,0,1689
DRIAMS-B,Cefoxitin,176,58,566,0,5097,0,800
DRIAMS-B,Ceftazidime,99,7,834,0,4957,0,940
DRIAMS-B,Ceftriaxone,112,3,970,0,4812,0,1085
DRIAMS-B,Cefuroxime,304,0,499,0,5094,0,803
DRIAMS-B,Ciprofloxacin,302,37,1680,0,3878,0,2019
DRIAMS-B,Ertapenem,19,1,785,0,5092,0,805
DRIAMS-B,Fosfomycin,293,0,1242,0,4362,0,1535
DRIAMS-B,Gentamicin,130,3,1414,0,4350,0,1547
DRIAMS-B,Imipenem,50,42,1123,0,4682,0,1215
DRIAMS-B,Meropenem,3,8,905,0,4981,0,916
DRIAMS-B,Nitrofurantoin,534,0,481,0,4882,0,1015
DRIAMS-B,Norfloxacin,136,7,657,0,5097,0,800
DRIAMS-B,Piperacillin-Tazobactam,172,16,987,0,4722,0,1175
DRIAMS-B,Cotrimoxazol,195,1,1553,0,4148,0,1749
DRIAMS-B,Benzylpenicillin,616,2,457,0,4822,0,1075
DRIAMS-B,Clindamycin,209,2,822,0,4864,0,1033
DRIAMS-B,Daptomycin,1,0,718,0,5178,0,719
DRIAMS-B,Erythromycin,233,1,714,0,4949,0,948
DRIAMS-B,Fusidic acid,176,0,560,0,5161,0,736
DRIAMS-B,Levofloxacin,172,25,1007,0,4693,0,1204
DRIAMS-B,Linezolid,0,0,1142,0,4755,0,1142
DRIAMS-B,Mupirocin,8,2,726,0,5161,0,736
DRIAMS-B,Oxacillin,186,0,545,0,5166,0,731
DRIAMS-B,Rifampicin,12,1,789,0,5095,0,802
DRIAMS-B,Teicoplanin,10,0,736,0,5151,0,746
DRIAMS-B,Tetracycline,130,0,747,0,5020,0,877
DRIAMS-B,Tigecycline,1,1,955,0,4940,0,957
DRIAMS-B,Vancomycin,16,0,1220,0,4661,0,1236
DRIAMS-B,Clarithromycin,36,0,173,0,5688,0,209
DRIAMS-B,Gentamicin_high_level,36,0,179,0,5682,0,215
DRIAMS-B,Strepomycin_high_level,26,0,56,0,5815,0,82
DRIAMS-B,Metronidazole,3,0,29,0,5865,0,32
DRIAMS-B,Benzylpenicillin_others,1,1,25,0,5870,0,27
DRIAMS-B,Benzylpenicillin_with_meningitis,2,0,25,0,5870,0,27
DRIAMS-B,Benzylpenicillin_with_pneumonia,1,0,26,0,5870,0,27
DRIAMS-B,Minocycline,0,0,2,0,5895,0,2
